x,y,v
16371,0,4934.3
16370.2,163.707,4934.3
16367.7,327.398,4934.3
16363.6,491.056,4934.3
16357.9,654.665,4934.3
16350.5,818.209,4934.3
16341.5,981.671,4934.3
16330.9,1145.03,4934.3
16318.6,1308.28,4934.3
16304.7,1471.4,4934.3
16289.2,1634.37,4934.3
16272.1,1797.18,4934.3
16253.3,1959.81,4934.3
16232.9,2122.24,4934.3
16210.8,2284.46,4934.3
16187.2,2446.45,4934.3
16161.9,2608.2,4934.3
16135,2769.68,4934.3
16106.5,2930.89,4934.3
16076.4,3091.81,4934.3
16044.7,3252.42,4934.3
16011.3,3412.7,4934.3
15976.4,3572.64,4934.3
15939.9,3732.22,4934.3
15901.8,3891.43,4934.3
15862.1,4050.25,4934.3
15820.8,4208.67,4934.3
15777.9,4366.66,4934.3
15733.4,4524.22,4934.3
15687.4,4681.32,4934.3
15639.8,4837.96,4934.3
15590.7,4994.11,4934.3
15539.9,5149.77,4934.3
15487.7,5304.91,4934.3
15433.8,5459.52,4934.3
15378.5,5613.58,4934.3
15321.6,5767.08,4934.3
15263.1,5920.01,4934.3
15203.2,6072.34,4934.3
15141.7,6224.06,4934.3
15078.7,6375.17,4934.3
15014.2,6525.63,4934.3
14948.2,6675.45,4934.3
14880.7,6824.59,4934.3
14811.7,6973.05,4934.3
14741.2,7120.82,4934.3
14669.3,7267.87,4934.3
14595.9,7414.2,4934.3
14521,7559.79,4934.3
14444.7,7704.62,4934.3
14366.9,7848.68,4934.3
14287.7,7991.95,4934.3
14207.1,8134.42,4934.3
14125,8276.09,4934.3
14041.5,8416.92,4934.3
13956.7,8556.91,4934.3
13870.4,8696.05,4934.3
13782.8,8834.32,4934.3
13693.7,8971.7,4934.3
13603.3,9108.19,4934.3
13511.6,9243.76,4934.3
13418.5,9378.41,4934.3
13324,9512.13,4934.3
13228.2,9644.89,4934.3
13131.1,9776.69,4934.3
13032.7,9907.51,4934.3
12933,10037.3,4934.3
12831.9,10166.2,4934.3
12729.6,10294,4934.3
12626.1,10420.8,4934.3
12521.2,10546.5,4934.3
12415.1,10671.2,4934.3
12307.8,10794.8,4934.3
12199.3,10917.3,4934.3
12089.5,11038.8,4934.3
11978.5,11159.1,4934.3
11866.3,11278.3,4934.3
11752.9,11396.4,4934.3
11638.4,11513.4,4934.3
11522.7,11629.2,4934.3
11405.8,11743.8,4934.3
11287.8,11857.3,4934.3
